property_id,nextplace_id,listing_id,address,city,state,zip_code,beds,baths,sqft,lot_size,year_built,latitude,longitude,property_type,last_sale_date,hoa_dues,market,listing_price,listing_date,sale_price,sale_date
35034568,a6022c27b75f0a7d3673acbdde57b65719c694b5d7458ce7112f33ec362fddfd,196202905,"1705 Heatheridge Rd Unit H204",Fort Collins,CO,80526,1,1,560,,1974,40.565034,-105.1025532,3,1978-12-01T08:00:00,277,Fort Collins,215000,2024-11-08T18:13:07.558,203000,2025-02-05T08:00:00
181008276,56fca72580d2e5f7c9c57c097ca03029ffce13647673b994fc3aacf5efbceb3f,196030042,"2214 Owens Ave",Fort Collins,CO,80528,2,1.75,1157,,2003,40.5026698,-105.0355366,13,2019-06-07T07:00:00,345,Fort Collins,378000,2024-11-01T18:59:49.165,365000,2025-02-06T08:00:00
34898891,d655d9cf7e6743f78c06dcdd0010303251610819841fbaf1dbcc2e2498b710c7,190839478,"2606 Shadow Mountain Dr",Fort Collins,CO,80525,6,3,3126,12000,1975,40.5521256,-105.0513248,6,2020-03-13T07:00:00,79,Fort Collins,695000,2024-07-10T00:00:00,640000,2025-02-06T08:00:00
112738593,bcf19c80beb658bc911b88fbc4ce20152c1a0a387dbc7bfdbafc154d97044063,192732138,"2209 Shandy St",Fort Collins,CO,80524,3,2.25,1732,2377,2017,40.5912357,-105.0360303,13,2020-07-10T07:00:00,380,Fort Collins,475000,2024-08-30T00:00:00,465000,2025-02-03T08:00:00
113425911,19120ba8f8a636c2aa493bfe703109c60e6a658a0cb1f1b348a3d684456fe88c,192519477,"225 Green Leaf St #5",Fort Collins,CO,80524,2,2.75,1393,1332,2017,40.6101587,-105.0796155,13,2020-06-29T07:00:00,250,Fort Collins,499000,2024-08-23T00:00:00,462500,2025-02-05T08:00:00
35013645,d1d75d4d31f0af81c4adb4668c9aca7db51732b9d11fada146e17bf951ca47f0,192442649,"633 Mathews St",Fort Collins,CO,80524,5,3.25,3365,7000,1909,40.5788197,-105.074526,6,2022-07-28T07:00:00,,Fort Collins,1300000,2024-08-20T00:00:00,1260230,2025-02-05T08:00:00
34910629,d146d6069f88a7b633c49d0718fed09c886e3e3cbbcb0cb18fbee6cfdd89a2c7,184518329,"1230 Country Club Rd",Fort Collins,CO,80524,5,5.75,10474,43560,1992,40.6189992,-105.0537366,6,,,Fort Collins,2450000,2024-04-08T00:00:00,2500000,2025-01-21T08:00:00
185967382,1ab49cb2d95b918ca5e77fefa24804d8ac56d84150292ff8e6d2dae7fc4d6c0b,170775011,"975 Landmark Way #5",Fort Collins,CO,80524,2,2,1174,,2024,40.599989,-105.060916,13,2025-01-31T08:00:00,380,Fort Collins,446050,2023-06-30T17:07:42.805,446050,2025-01-31T08:00:00
190988507,025e55d2a14c3508b34e6887e243dceeeecc29f12be906cfe2cdc39f85a83fad,188774375,"926 Schlagel St #7",Fort Collins,CO,80524,3,1.75,1509,,2024,40.6015418,-105.0611593,13,,300,Fort Collins,485701,2024-05-30T00:00:00,462831,2025-01-24T08:00:00
190366586,f7c97a64ec7d05a01fa04f879bd13404f07c4456c976df8c21f2cb4a99b09d2a,188774135,"975 Landmark Way #7",Fort Collins,CO,80524,2,2,1135,,2024,40.599989,-105.060916,13,,390,Fort Collins,430355,2024-06-14T00:00:00,422355,2025-02-04T08:00:00
34690924,e6758b7d5d7f1cdbb1d0a167aa940d5bdab86978ac80e2f18221079c6caa4b42,190643919,"2621 Rigden Pkwy Unit A1",Fort Collins,CO,80525,2,2.5,1735,5544,2002,40.551198,-105.0305833,3,2024-05-24T07:00:00,489,Fort Collins,394000,2024-07-02T00:00:00,375000,2025-01-24T08:00:00
147042315,f3d8398610a3b1ec233003274015e382b773a6e10ef17a8f765d8d6333e26ca8,191595577,"926 Tod Dr",Fort Collins,CO,80524,4,4.25,4018,7925,2018,40.5743087,-104.9934,6,2019-09-13T07:00:00,73,Fort Collins,785000,2024-08-01T00:00:00,740000,2025-01-10T08:00:00
34900320,3c3c159cb95f8fdc9ccc484221e16e1542f28a6816c1d2141a40828700c57632,191206550,"1512 Brentford Ln",Fort Collins,CO,80525,6,4.75,7161,14146,1986,40.545718,-105.0495576,6,2019-05-21T07:00:00,290,Fort Collins,2275000,2024-07-24T00:00:00,2200000,2025-01-28T08:00:00
191536848,175a3b69b7440ec02cb4e45c91c034c12e064676b55597e35cd246ded7799d89,191744231,"2714 Barnstormer St Unit C",Fort Collins,CO,80524,2,1.75,1395,,2024,40.595456,-105.026579,13,,374,Fort Collins,443215,2024-08-05T00:00:00,393215,2025-01-24T08:00:00
34992713,bfe7108a0055800058093f51debc462e39963c0a531efef9ac5ba0b6c6162757,192797163,"608 Ruby Dr",Fort Collins,CO,80525,3,2,2458,12126,1993,40.4796583,-105.067723,6,2020-03-23T07:00:00,,Fort Collins,515000,2024-09-03T00:00:00,467000,2025-02-03T08:00:00
34988134,c05389e83e75ba77cdc78b551b4f325158e454ef3d3199b25e1ea3c184e11ce1,192928470,"401 Aurora Way",Fort Collins,CO,80525,5,3,2510,8276,2000,40.5004281,-105.0830407,6,2008-08-07T07:00:00,,Fort Collins,575000,2024-09-06T00:00:00,542000,2025-01-17T08:00:00
119112154,89fd3411c3569896534fc7be5f221b2918acd1a7d60c9704defc248755d171e0,192712313,"2932 Sykes Dr",Fort Collins,CO,80524,3,2.25,3110,3889,2019,40.5919525,-105.0233185,6,2022-04-18T07:00:00,74,Fort Collins,699000,2024-08-30T00:00:00,665000,2025-01-09T08:00:00
35062354,d40ea7cf3bfca79a26749321b2e0a9e258af3a9bbec9827afd6a608557e8ce0a,193043191,"4411 Gray Fox Rd",Fort Collins,CO,80526,4,3.5,3877,10800,1994,40.5261296,-105.1289801,6,2020-07-17T07:00:00,25,Fort Collins,865000,2024-09-10T00:00:00,839000,2025-01-17T08:00:00
34700504,8c2c65cdcf609108e93c881c2fee4a1b7906af828e60762c7d7788c4df6400a9,193542363,"4603 Chokecherry Trl #4",Fort Collins,CO,80526,3,3.25,2191,,2001,40.5231891,-105.1073526,13,2013-09-11T07:00:00,371,Fort Collins,520000,2024-09-25T18:58:01.694,480000,2025-01-31T08:00:00
34876347,4a877329ad785634ad51b9a2bc3107acdd0703f0dacf5d6376b0321d957b64e7,193181142,"1726 Globe Ct",Fort Collins,CO,80528,4,4,4679,8140,1998,40.5123108,-105.0449183,6,1999-05-28T07:00:00,90,Fort Collins,900000,2024-09-13T20:57:17.357,820000,2025-01-22T08:00:00
185824332,181a4c8be2ff08341d66e5251f54e23156d026ea32145a8e76fdde6489d19c7d,192304845,"1352 Alyssa Dr",Timnath,CO,80547,4,3.5,3079,7800,2023,40.569739,-104.9711559,6,,100,Fort Collins,799900,2024-08-15T00:00:00,749900,2025-01-17T08:00:00
160599092,d67cb20105a4204f540020b70a33ec2f86eabc98e1fe6b53b970e8b0b4ab5ac7,190925268,"12145 Spotted Pony Cir",Fort Collins,CO,80524,,,,154137,,40.761649,-105.095867,8,2022-03-03T08:00:00,25,Fort Collins,395000,2024-07-11T00:00:00,375000,2025-01-14T08:00:00
34762900,deb6621efa7010722c5ff2409fd46344da79898bcd41c22121cc58d0455844b3,193186246,"3660 Dixon St",Timnath,CO,80547,3,1.75,2312,10010,2014,40.536862,-104.9831155,6,2014-12-05T08:00:00,125,Fort Collins,620000,2024-09-13T22:52:33.532,612500,2025-01-14T08:00:00
35096418,1438f7864872744c45f6df2a61cba5819dc763d36137aad73bc6bf95f46c5837,193197591,"2939 Ruff Way",Fort Collins,CO,80528,4,3,2939,5280,2003,40.5139767,-105.0221872,6,2015-12-29T08:00:00,101,Fort Collins,669000,2024-09-14T06:08:37.429,659000,2025-01-13T08:00:00
34709576,823a49c129555ebbf429bf19b157afb3bdb395387af2b20f9be5a4f0235d4360,194002550,"802 Waterglen Dr Unit M55",Fort Collins,CO,80524,3,2.5,1294,,2003,40.5964672,-105.0037468,3,2020-06-15T07:00:00,285,Fort Collins,355000,2024-10-05T06:30:32.745,355000,2025-02-03T08:00:00
